variable_id,variable_name,product_id,internal_name,time_scale,resolution_x,resolution_y,resolution_z,resolution_t,x_units,y_units,z_units,t_units
f48d0598-0b88-41c8-b27d-2d34c477c2a1,sst,733df46c-861b-4c7e-a7ce-6003309e562c,,historical,0.05,0.05,NA,1,deg,deg,NA,day
2ae7bf8e-5aad-4ae6-8188-3c0d21684bf0,sst,7b158a9c-ec60-4bb7-a65b-d5fdc19d3767,,nrt,0.05,0.05,NA,1,deg,deg,NA,day
f12bd247-6456-4da6-91a5-6acd668f7061,sea_ice,733df46c-861b-4c7e-a7ce-6003309e562c,,historical,0.05,0.05,NA,1,deg,deg,NA,day
ed17dee6-0274-43ae-901a-25bc4c7fd839,sea_ice,7b158a9c-ec60-4bb7-a65b-d5fdc19d3767,,nrt,0.05,0.05,NA,1,deg,deg,NA,day
35037065-5d2d-4bb2-b7a1-ae0ebd1c9afe,adt,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
0163fc4f-023d-4d24-9b7d-5d822bc5765e,adt,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
6d9eb718-bec1-4740-91ee-c8916897d481,sla,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
86d66ad9-e47f-48db-9d9e-52435e5036ec,sla,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
0d4092b0-265e-4b51-b8ca-3cf7d00e1f2a,ugos,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
543efb98-599a-4b7d-969d-a89103f02a57,ugos,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
ab148dfe-b084-4f79-957e-e208c3688183,ugosa,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
5974f417-97c9-4060-90f1-bfa4d7932f48,ugosa,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
f828a28a-57a6-4013-8302-7a0dbc7380a0,vgos,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
4e85ead4-ab19-475d-9d63-6bb1b7ebc114,vgos,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
091c3815-cd79-409b-a93d-75f3f3241c4d,vgosa,9a8f7536-e319-4e9d-889c-d413210494f1,,historical,,,,,,,,
fd899852-7329-4673-b8c5-19095e52f2be,vgosa,5a885f58-88e2-4ab4-b69b-16c6b2743318,,nrt,,,,,,,,
4e8b8ec8-9b29-4e15-bce8-39668c4485d8,mld,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
dcd13f09-d002-46e8-9c40-bc6a4e12dc35,mld,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
e589d40d-47a5-470d-ad41-f26e7a78ebb4,salinity,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
84d2dfbb-065c-4f36-b289-cffb8963b516,salinity,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
8cd3b536-24c6-4a55-8bae-7ea57a803cbb,temperature,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
38527f1c-b705-4ed2-8480-3d4a9542339c,temperature,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
18dcf65b-dd15-417d-ab56-0e57468eb197,ice_thick,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
fbaf4b92-bf60-44c1-98f8-ae08494c0878,ice_thick,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
f0f322f3-b6f2-4bb3-914d-c3c7a9a78a2d,ice_conc,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
00a0c1e7-e479-4708-8625-d08db5517b8a,ice_conc,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
00b2fbd6-b09d-4485-9bb8-3b6474dab7e5,ssh,a43318eb-4dcd-4248-8ab5-db5aa310e0ee,,historical,0.083,0.083,NA,1,deg,deg,NA,day
4c147720-6803-4bee-8d1a-baa61cd831d5,ssh,de2d094f-29e9-4011-9af3-eea598dd1903,,nrt,0.083,0.083,NA,1,deg,deg,NA,day
